Min_value,Max_value,Average,Lowest_percentile,Highest_percentile
wind:0 ,55423.09514014862,55479.43183087951,55452.16055307767,55431.02745275804,55473.05871176263
wind:1 ,55169.938184036975,55681.431208216796,55413.15984876771,55219.301179984206,55615.48072245812
wind:2 ,54987.53323250539,55616.92234268581,55304.83492788585,55047.24822165739,55532.71260912106
wind:3 ,54792.995238255855,55435.4672585902,55111.598698155285,54874.10072741139,55355.39052209976
wind:4 ,54569.345987202716,55314.91070599325,54931.11768877814,54659.498115949275,55219.924506054995
Jetstream thickness:1 ,55500.10643739025,55542.414787748734,55521.37464364712,55508.165170791865,55534.35605434712
Jetstream thickness:2 ,55550.47352115035,55606.884654961665,55575.713474164215,55556.51757120156,55594.79655485924
Jetstream thickness:3 ,55592.781871508836,55673.369205525,55630.68451231666,55604.86997161126,55657.25173872177
Jetstream thickness:4 ,55635.09022186732,55725.750972635506,55681.408195029784,55651.207688670554,55713.66287253308
Jetstream thickness:5 ,55677.39857222581,55782.16210644682,55728.56024709932,55693.51603902904,55766.04463964359
Jetstream thickness:6 ,55713.66287253308,55850.66134036056,55771.85579229949,55731.79502268672,55812.38235670288
Jetstream thickness:7 ,55727.76565598591,55892.969690719045,55812.03301060993,55768.05932299399,55860.73475711258
Jetstream thickness:8 ,55778.13273974601,55933.263357727126,55849.45897733704,55800.29425660046,55903.043107471065
Jetstream thickness:9 ,55808.35299000207,55973.55702473521,55884.94399812437,55834.543873557326,55937.292724427934
Jet stream time diff:1 ,55675.3838888754,55786.19147314763,55728.33017026069,55693.51603902904,55764.02995629318
Jet stream time diff:2 ,55576.6644047056,55649.19300532015,55611.64776933868,55590.76718815843,55635.090221867315
Jet stream time diff:3 ,55528.312004295905,55588.75250480803,55559.2603611148,55542.414787748734,55576.6644047056
Jet stream time diff:4 ,55514.20922084308,55556.51757120156,55530.95688059832,55518.238587543885,55544.449617932645
Jet stream time diff:5 ,55494.062387339036,55532.34137099671,55513.17045010761,55500.10643739025,55526.2973209455
Jet stream time diff:6 ,55486.00365393742,55518.238587543885,55501.258030393336,55490.03302063823,55512.19453749267
Jet stream time diff:7 ,55477.9449205358,55508.165170791865,55492.57555102644,55481.97428723661,55502.12112074065
Jet stream time diff:8 ,55471.90087048459,55504.135804091056,55485.75302732863,55475.9302371854,55496.07707068944
Jet stream time diff:9 ,55467.87150378378,55494.062387339036,55480.47898925394,55471.90087048459,55490.03302063823
Jet stream time diff:10 ,55463.842137082975,55490.03302063823,55476.34606782892,55467.87150378378,55483.988970587016
Jet stream time diff:11 ,55461.82745373257,55486.00365393742,55472.84293641925,55465.85682043338,55481.97428723661
Jet stream time diff:12 ,55457.79808703176,55481.97428723661,55469.98530955503,55461.82745373257,55477.9449205358
Jet stream time diff:13 ,55455.78340368136,55479.95960388621,55467.3984561331,55459.81277038217,55475.9302371854
Jet stream time diff:14 ,55453.768720330954,55477.9449205358,55465.41560477965,55457.79808703176,55471.90087048459
